Date,Origin,Price,Commodity,Location,Country,Continent,FOB_Price_Type,Currency/Unit
2025-02-28,US White,230.577385,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-28,HRW 11,253.6351235,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-28,HRW 12,260.9842035,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-28,HRS 13.5,244.47213749999997,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-28,Argentine 12,233,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-28,APW,249.69370000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-28,ASW,244.69370000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-28,French 11.5,236.644773,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-28,German 12.5,241.182225,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-28,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-27,2SRW,244.2650465,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-27,US White,236.9159665,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-27,HRW 11,258.503889,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-27,HRW 12,265.85296900000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-27,HRS 13.5,249.2489875,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-27,Argentine 12,236,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-27,APW,252.63045,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-27,ASW,247.63045,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-27,French 11.5,240.697166,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-27,German 12.5,249.45970000000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-27,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-26,2SRW,247.2046785,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-26,US White,239.8555985,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-26,HRW 11,261.076067,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-26,HRW 12,268.425147,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-26,HRS 13.5,253.29093749999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-26,Argentine 12,237,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-26,APW,255.14480000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-26,ASW,250.14480000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-26,French 11.5,244.145088,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-26,German 12.5,251.953275,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-26,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-25,2SRW,249.317539,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-25,US White,241.968459,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-25,HRW 11,262.545883,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-25,HRW 12,269.894963,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-25,HRS 13.5,255.8630875,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-25,Argentine 12,237,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-25,APW,253.9488,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-25,ASW,248.9488,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-25,French 11.5,243.12813550000004,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-25,German 12.5,250.91217500000005,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-25,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-22,2SRW,251.70599,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-22,US White,244.724364,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-22,HRW 11,266.1285595,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-22,HRW 12,273.4776395,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-22,HRS 13.5,259.9050375,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-22,Argentine 12,234.9,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-22,APW,254.44400000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-22,ASW,249.44400000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-22,French 11.5,248.66172500000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-22,German 12.5,255.21235000000001,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-22,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-20,2SRW,252.440898,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-20,US White,245.459272,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-20,HRW 11,267.7821025,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-20,HRW 12,275.1311825,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-20,HRS 13.5,260.548075,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-20,Argentine 12,233,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-02-20,APW,258.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-20,ASW,253.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-02-20,French 11.5,249.29081250000004,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-02-20,German 12.5,256.59986250000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-02-20,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-19,2SRW,257.1259365,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-19,US White,250.1443105,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-02-19,HRW 11,272.7427315,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-19,HRW 12,280.0918115,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-02-19,HRS 13.5,263.30395,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-02-19,Argentine 12,235.3,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
